P00201100420,IDP000039809,26 Oct 2015,(PA) Dihapuskan,2012/00642,9-Feb-12,15-Jul-11,15-Jul-11,"2010-177807 06 Aug 2010 JP
",B62J 6/00,"HONDA MOTOR CO., LTD."
P00201405265,IDP000060303,04 Jul 2019,(PA) Diberi Paten,2016/00991,11-Mar-16,4-Sep-14,4-Sep-14,"2013-185212 06 Sep 2013 JP
",F04D 29/24,"Honda Motor Co., Ltd."
P00201300731,IDP000047694,07 Sep 2017,(PA) Dihapuskan,2014/01965,19-Jun-14,18-Sep-13,18-Sep-13,"2012-217280 28 Sep 2012 JP
","F01M 1/02,F01M 11/03","HONDA MOTOR CO., LTD"
P00201406233,IDP000056091,24 Jan 2019,(PA) Diberi Paten,2016/04315,15-Jul-16,15-Oct-14,15-Oct-14,"2013-224973 30 Oct 2013 JP
","F16H 61/00,F16H 61/662","HONDA MOTOR CO., LTD."
P00201200685,IDP000046090,29 May 2017,(PA) Diberi Paten,2013/00674,28-Mar-13,29-Aug-12,29-Aug-12,"2011-212779 28 Sep 2011 JP
","F01L 1/34,F01L 9/04","HONDA MOTOR CO., LTD."
P00201000510,IDP000037172,06 Nov 2014,(PA) Dihapuskan,51.0861,3-Mar-11,11-Aug-10,11-Aug-10,"2009-196595 27 Aug 2009 JP
","B62M 9/00,F16D 3/12,F16F 15/12","HONDA MOTOR CO., LTD."
P00201000549,IDP000038964,06 Jul 2015,(PA) Masa Tenggang Dihapuskan,51.095,3-Mar-11,26-Aug-10,26-Aug-10,"2009-200366 31 Aug 2009 JP
",B62J 23/00,"HONDA MOTOR CO., LTD."
P00201100104,IDP000040159,20 Jan 2016,(PA) Diberi Paten,51.3949,25-Aug-11,11-Feb-11,11-Feb-11,"2010-038765 24 Feb 2010 JP
","B60T 8/00,B60T 8/66","HONDA MOTOR CO., LTD."
P00201403007,IDP000050568,09 Apr 2018,(PA) Masa Tenggang Dihapuskan,2015/03149,24-Jul-15,23-May-14,19-Oct-12,"2011-258148 25 Nov 2011 JP
","B62D 25/08,B62D 25/20","HONDA MOTOR CO., LTD."
P00201100458,IDP000038494,29 Apr 2015,(PA) Diberi Paten,2012/00703,16-Feb-12,3-Aug-11,3-Aug-11,"2010-178446 09 Aug 2010 JP
","B62J 37/00,F02M 37/04","HONDA MOTOR CO., LTD."
P00201100184,IDP000042615,31 Aug 2016,(PA) Diberi Paten,2016/02813,-,25-Mar-11,25-Mar-11,"2010-080929 31 Mar 2010 JP
","B62J 37/00,F02M 37/00,F02M 37/10","HONDA MOTOR CO., LTD."
P00201100321,IDP000038981,06 Jul 2015,(PA) Diberi Paten,51.5378,22-Dec-11,9-Jun-11,9-Jun-11,"2010-133990 11 Jun 2010 JP
","F02B 67/06,F02F 7/00","HONDA MOTOR CO., LTD."
P00201100548,,19 Sep 2011,(PA) Ditarik Kembali oleh Pemohon,2012/01817,29-Mar-12,,-,"2010-214101 24 Sep 2010 JP
",F02N 15/02,"HONDA MOTOR CO., LTD."
P00201100617,IDP000039291,24 Aug 2015,(PA) Diberi Paten,2012/02251,3-May-12,20-Oct-11,20-Oct-11,"2010-243975 29 Oct 2010 JP
","B62K 11/00,B62M 7/02","HONDA MOTOR CO., LTD."
P00201100519,IDP000043943,23 Dec 2016,(PA) Diberi Paten,2012/01845,29-Mar-12,26-Aug-11,26-Aug-11,"2010-214258 24 Sep 2010 JP
",B62J 6/00,"HONDA MOTOR CO., LTD."
P00201402422,IDP000046758,12 Jul 2017,(PA) Diberi Paten,2015/02366,12-Jun-15,25-Apr-14,6-Jun-12,"2011-237335 28 Oct 2011 JP
","B60R 16/02,G01M 17/007","HONDA MOTOR CO., LTD."
P00201300040,IDP000065790,20 Dec 2019,(PA) Diberi Paten,2014/04061,23-Oct-14,23-Jan-13,23-Jan-13,"2012-018971 31 Jan 2012 JP
",-,"HONDA MOTOR CO., LTD."
P00201100337,IDP000045849,15 May 2017,(PA) Dihapuskan,51.5405,22-Dec-11,13-Jun-11,13-Jun-11,"2010-148008 29 Jun 2010 JP
","B60K 35/00,G01F 9/00","HONDA MOTOR CO., LTD."
P00201000551,IDP000035259,23 Dec 2013,(PA) Menunggu Respon Dihapuskan,51.089,3-Mar-11,26-Aug-10,26-Aug-10,"2009-197950 28 Aug 2009 JP
","B62J 37/00,F02M 35/16,F02M 69/00","HONDA MOTOR CO., LTD."
P00201300631,IDP000055935,16 Jan 2019,(PA) Diberi Paten,2014/01407,5-Jun-14,26-Aug-13,26-Aug-13,"2012-218544 28 Sep 2012 JP
","B62K 19/38,B62K 25/20,B62L 1/00,B62L 3/00,F16D 55/224,F16D 65/02,F16D 65/30","HONDA MOTOR CO., LTD"
P00201000731,IDP000038174,31 Mar 2015,(PA) Diberi Paten,51.2417,26-May-11,18-Nov-10,18-Nov-10,"2009-266208 24 Nov 2009 JP
","F02D 41/00,F02D 41/08,F02D 41/14,F02D 45/00","HONDA MOTOR CO., LTD."
P00201100080,IDP000045839,15 May 2017,(PA) Diberi Paten,51.3886,25-Aug-11,27-Jan-11,27-Jan-11,"2010-037503 23 Feb 2010 JP
",B60K 11/06,"HONDA MOTOR CO., LTD."
P00201000559,IDP000038521,07 May 2015,(PA) Diberi Paten,51.0951,3-Mar-11,30-Aug-10,30-Aug-10,"2009-202564 02 Sep 2009 JP
",B62J 23/00,"HONDA MOTOR CO., LTD."
P00201403714,,23 Jun 2014,(PA) Dianggap Ditarik Kembali (Direktur),2015/05337,27-Nov-15,,-,"2012-013085 25 Jan 2012 JP
","B62D 21/00,B62D 25/20","HONDA MOTOR CO., LTD."
P00201200805,IDP000053482,17 Sep 2018,(PA) Diberi Paten,2013/02508,25-Jul-13,5-Oct-12,5-Oct-12,"2011-225907 13 Oct 2011 JP
",B62J 23/00,"HONDA MOTOR CO., LTD."
P00201200865,IDP000039935,17 Nov 2015,(PA) Masa Tenggang Dihapuskan,2013/01191,25-Apr-13,12-Oct-12,12-Oct-12,"2011-239598 31 Oct 2011 JP
","B60K 35/00,G01D 11/26","HONDA MOTOR CO., LTD."
P00201100527,IDP000037175,06 Nov 2014,(PA) Diberi Paten,2012/01792,29-Mar-12,9-Sep-11,9-Sep-11,"2010-217573 28 Sep 2010 JP
","F02D 35/00,F02D 41/00,F02D 9/10","HONDA MOTOR CO., LTD."
P00201400800,IDP000055115,11 Dec 2018,(PA) Diberi Paten,2014/05260,30-Dec-14,12-Feb-14,12-Feb-14,"2013-038887 28 Feb 2013 JP
","B62J 23/00,B62J 9/00,B62M 7/02","HONDA MOTOR CO., LTD."
